step,elapsed_tokens,elapsed_examples,training_loss,training_sequence_accuracy,training_token_accuracy,validation_loss,validation_sequence_accuracy,validation_token_accuracy,classification/accuracy,classification/weighted_f1_score
329,1837600,10528,0.013769087763293584,0.875,0.875,0.01161938748534173,0.90625,0.90625,,
330,1843776,10560,0.012470782828699936,0.78125,0.78125,,,,,
331,1850208,10592,0.010399085008595538,0.78125,0.78125,,,,,
332,1855872,10624,0.014661391073214168,0.78125,0.78125,,,,,
333,1860512,10656,0.018347612252756294,0.65625,0.65625,,,,,
334,1865408,10688,0.014058471440092915,0.71875,0.71875,,,,,
335,1870048,10720,0.01475718844720796,0.78125,0.78125,,,,,
336,1875200,10752,0.018065348988186073,0.71875,0.71875,,,,,
337,1880608,10784,0.012334274089546978,0.78125,0.78125,0.014514134464218759,0.8125,0.8125,,
338,1886784,10816,0.011048049534332154,0.78125,0.78125,,,,,
339,1891936,10848,0.011422331430948843,0.84375,0.84375,,,,,
340,1897856,10880,0.014031803994323596,0.78125,0.78125,,,,,
341,1902496,10912,0.013639380573305993,0.875,0.875,,,,,
342,1908928,10944,0.01313466275162947,0.90625,0.90625,,,,,
343,1913824,10976,0.014791461858015142,0.71875,0.71875,,,,,
344,1919232,11008,0.016261125974862987,0.75,0.75,,,,,
345,1924640,11040,0.015705675832016788,0.84375,0.84375,0.012962369000782079,0.75,0.75,,
346,1930304,11072,0.015193975441189835,0.8125,0.8125,,,,,
347,1936224,11104,0.01414315972537488,0.75,0.75,,,,,
348,1942400,11136,0.012749017035003246,0.8125,0.8125,,,,,
349,1947552,11168,0.013517153885402514,0.8125,0.8125,,,,,
350,1952192,11200,0.016039724792562472,0.78125,0.78125,,,,,
351,1957856,11232,0.013024679410950842,0.75,0.75,,,,,
352,1964032,11264,0.013413567528812951,0.75,0.75,,,,,
353,1970464,11296,0.011607667143854573,0.8125,0.8125,0.014768289116983913,0.8125,0.8125,,
354,1975360,11328,0.017726542628321934,0.8125,0.8125,,,,,
355,1981024,11360,0.01268476793859748,0.875,0.875,,,,,
356,1986944,11392,0.013248944645172166,0.875,0.875,,,,,
357,1991584,11424,0.013598599938282406,0.84375,0.84375,,,,,
358,1996480,11456,0.015218383023028782,0.71875,0.71875,,,,,
359,2001376,11488,0.016678439991922905,0.71875,0.71875,,,,,
360,2006528,11520,0.014748973649529058,0.875,0.875,,,,,
361,2012704,11552,0.013181638971374242,0.75,0.75,0.013727107779052495,0.875,0.875,,
362,2018112,11584,0.01295118091017545,0.875,0.875,,,,,
363,2024288,11616,0.013613293215135597,0.8125,0.8125,,,,,
364,2029440,11648,0.01615534070544833,0.78125,0.78125,,,,,
365,2034848,11680,0.01517549648100125,0.75,0.75,,,,,
366,2040000,11712,0.017709607521149216,0.71875,0.71875,,,,,
367,2045920,11744,0.013950155388741349,0.78125,0.78125,,,,,
368,2052096,11776,0.015539771579256567,0.65625,0.65625,,,,,
369,2057248,11808,0.015474696031364903,0.8125,0.8125,0.014084635872285216,0.75,0.75,,
370,2062656,11840,0.01483299158159587,0.71875,0.71875,,,,,
371,2068320,11872,0.014544749946639922,0.84375,0.84375,,,,,
372,2073728,11904,0.01416631147889767,0.75,0.75,,,,,
373,2078368,11936,0.013958124237719527,0.90625,0.90625,,,,,
374,2084800,11968,0.015344141580206987,0.71875,0.71875,,,,,
375,2089696,12000,0.016502470823061083,0.8125,0.8125,,,,,
376,2094592,12032,0.017053674703332845,0.8125,0.8125,,,,,
377,2099232,12064,0.018142680443044398,0.84375,0.84375,0.013722786606035603,0.9375,0.9375,,
378,2105408,12096,0.012732996054659697,0.8125,0.8125,,,,,
379,2111328,12128,0.012542038552878979,0.75,0.75,,,,,
380,2116480,12160,0.01369617113967563,0.8125,0.8125,,,,,
381,2122912,12192,0.011036284420159907,0.84375,0.84375,,,,,
382,2128832,12224,0.011175379830897189,0.90625,0.90625,,,,,
383,2135008,12256,0.012811708382032843,0.78125,0.78125,,,,,
384,2139904,12288,0.01565170370506508,0.78125,0.78125,,,,,
385,2145568,12320,0.012534234456660314,0.875,0.875,0.013530520177974209,0.9375,0.9375,,
386,2151488,12352,0.013201995751129687,0.90625,0.90625,,,,,
387,2156896,12384,0.011703346335193158,0.90625,0.90625,,,,,
388,2161280,12416,0.01660827480497478,0.8125,0.8125,,,,,
389,2167712,12448,0.012321954697084353,0.65625,0.65625,,,,,
390,2173888,12480,0.011594526119517097,0.8125,0.8125,,,,,
391,2179296,12512,0.014185102046438247,0.71875,0.71875,,,,,
392,2184192,12544,0.015865114445645517,0.78125,0.78125,,,,,
393,2191648,12576,0.011822892709834725,0.78125,0.78125,0.018299018009603443,0.75,0.75,,
394,2197824,12608,0.013082545977450325,0.78125,0.78125,,,,,
395,2204000,12640,0.012288680627266513,0.84375,0.84375,,,,,
396,2210176,12672,0.011040725165889434,0.8125,0.8125,,,,,
397,2217632,12704,0.01007305556501346,0.75,0.75,,,,,
398,2224064,12736,0.01418893074316413,0.75,0.75,,,,,
399,2230752,12768,0.013489079617443143,0.65625,0.65625,,,,,
